Game_ID,Away_Team,Home_Team,Date,Ref_Crew,Accepted_Count,Yards,Away_Count,Away_Yards,Home_Count,Home_Yards,Total_Flags,Week,Year
1,Tennessee,Pittsburgh,9/10/2009,Bill Leavy,11,88,5,28,6,60,13,1,2009
2,Miami,Atlanta,9/13/2009,Walt Coleman,8,62,4,27,4,35,11,1,2009
3,Kansas City,Baltimore,9/13/2009,Gene Steratore,11,80,3,15,8,65,14,1,2009
4,Philadelphia,Carolina,9/13/2009,Jeff Triplette,14,106,9,76,5,30,14,1,2009
5,Denver,Cincinnati,9/13/2009,Jerome Boger,10,66,6,39,4,27,12,1,2009
6,Minnesota,Cleveland,9/13/2009,John Parry,11,104,3,38,8,66,12,1,2009
7,N.Y. Jets,Houston,9/13/2009,Ed Hochuli,16,117,10,80,6,37,19,1,2009
8,Jacksonville,Indianapolis,9/13/2009,Tony Corrente,6,41,3,24,3,17,6,1,2009
9,Detroit,New Orleans,9/13/2009,Mike Carey,15,116,8,80,7,36,17,1,2009
10,Dallas,Tampa Bay,9/13/2009,Al Riveron,7,56,4,41,3,15,9,1,2009
11,San Francisco,Arizona,9/13/2009,Don Carey,16,113,4,31,12,82,16,1,2009
12,Washington,N.Y. Giants,9/13/2009,Terry McAulay,8,62,4,32,4,30,12,1,2009
13,St. Louis,Seattle,9/13/2009,Pete Morelli,14,110,10,85,4,25,15,1,2009
14,Chicago,Green Bay,9/13/2009,Ron Winter,9,70,3,25,6,45,9,1,2009
15,Buffalo,New England,9/14/2009,Scott Green,15,126,9,71,6,55,16,1,2009
16,San Diego,Oakland,9/14/2009,Carl Cheffers,15,100,9,60,6,40,15,1,2009
17,Carolina,Atlanta,9/20/2009,Don Carey,12,75,6,35,6,40,14,2,2009
18,Minnesota,Detroit,9/20/2009,Carl Cheffers,11,88,5,43,6,45,12,2,2009
19,Cincinnati,Green Bay,9/20/2009,Ed Hochuli,24,176,13,100,11,76,27,2,2009
20,Arizona,Jacksonville,9/20/2009,Gene Steratore,15,108,7,58,8,50,15,2,2009
21,Oakland,Kansas City,9/20/2009,Walt Anderson,16,115,7,45,9,70,18,2,2009
22,New England,N.Y. Jets,9/20/2009,John Parry,19,144,11,89,8,55,21,2,2009
23,New Orleans,Philadelphia,9/20/2009,Al Riveron,10,58,3,13,7,45,16,2,2009
24,Houston,Tennessee,9/20/2009,Walt Coleman,14,104,6,40,8,64,23,2,2009
25,St. Louis,Washington,9/20/2009,Jerome Boger,11,80,6,45,5,35,13,2,2009
26,Tampa Bay,Buffalo,9/20/2009,Ron Winter,20,167,13,112,7,55,24,2,2009
27,Seattle,San Francisco,9/20/2009,Bill Leavy,12,99,6,45,6,54,13,2,2009
28,Pittsburgh,Chicago,9/20/2009,Scott Green,16,132,6,52,10,80,17,2,2009
29,Cleveland,Denver,9/20/2009,Pete Morelli,9,93,4,43,5,50,9,2,2009
30,Baltimore,San Diego,9/20/2009,Tony Corrente,16,117,4,32,12,85,18,2,2009
31,N.Y. Giants,Dallas,9/20/2009,Mike Carey,8,90,4,40,4,50,9,2,2009
32,Indianapolis,Miami,9/21/2009,Terry McAulay,8,40,4,20,4,20,10,2,2009
33,Cleveland,Baltimore,9/27/2009,Terry McAulay,13,130,5,46,8,84,19,3,2009
34,Pittsburgh,Cincinnati,9/27/2009,Gene Steratore,9,81,5,51,4,30,11,3,2009
35,Washington,Detroit,9/27/2009,Scott Green,17,155,9,97,8,58,17,3,2009
36,Jacksonville,Houston,9/27/2009,Ron Winter,10,100,5,40,5,60,11,3,2009
37,San Francisco,Minnesota,9/27/2009,Jerome Boger,16,112,7,60,9,52,18,3,2009
38,Atlanta,New England,9/27/2009,Al Riveron,9,64,7,54,2,10,9,3,2009
39,Kansas City,Philadelphia,9/27/2009,John Parry,13,110,10,90,3,20,14,3,2009
40,Green Bay,St. Louis,9/27/2009,Walt Coleman,12,91,6,51,6,40,14,3,2009
41,N.Y. Giants,Tampa Bay,9/27/2009,Jeff Triplette,10,85,5,60,5,25,12,3,2009
42,New Orleans,Buffalo,9/27/2009,Walt Anderson,21,213,9,97,12,116,23,3,2009
43,Chicago,Seattle,9/27/2009,Don Carey,11,105,7,60,4,45,12,3,2009
44,Tennessee,N.Y. Jets,9/27/2009,Mike Carey,6,40,3,15,3,25,6,3,2009
45,Denver,Oakland,9/27/2009,Ed Hochuli,11,83,5,30,6,53,15,3,2009
46,Miami,San Diego,9/27/2009,Bill Leavy,10,59,7,39,3,20,10,3,2009
47,Indianapolis,Arizona,9/27/2009,Pete Morelli,12,104,7,69,5,35,15,3,2009
48,Carolina,Dallas,9/28/2009,Tony Corrente,15,140,6,60,9,80,15,3,2009
49,Detroit,Chicago,10/4/2009,Walt Coleman,10,87,7,51,3,36,13,4,2009
50,Cincinnati,Cleveland,10/4/2009,Scott Green,11,90,6,46,5,44,15,4,2009
51,Oakland,Houston,10/4/2009,Don Carey,10,65,9,60,1,5,13,4,2009
52,Seattle,Indianapolis,10/4/2009,Mike Carey,13,93,6,45,7,48,14,4,2009
53,Tennessee,Jacksonville,10/4/2009,Al Riveron,10,98,6,68,4,30,11,4,2009
54,N.Y. Giants,Kansas City,10/4/2009,Jerome Boger,15,109,8,54,7,55,21,4,2009
55,Baltimore,New England,10/4/2009,Ron Winter,14,126,9,85,5,41,18,4,2009
56,Tampa Bay,Washington,10/4/2009,Ed Hochuli,9,80,5,40,4,40,10,4,2009
57,Buffalo,Miami,10/4/2009,Carl Cheffers,8,64,3,19,5,45,9,4,2009
58,N.Y. Jets,New Orleans,10/4/2009,Bill Leavy,10,91,3,21,7,70,10,4,2009
59,Dallas,Denver,10/4/2009,Walt Anderson,17,151,7,70,10,81,18,4,2009
60,St. Louis,San Francisco,10/4/2009,Tony Corrente,13,106,10,73,3,33,15,4,2009
61,San Diego,Pittsburgh,10/4/2009,Jeff Triplette,9,79,3,20,6,59,11,4,2009
62,Green Bay,Minnesota,10/5/2009,Gene Steratore,9,67,7,57,2,10,12,4,2009
63,Cincinnati,Baltimore,10/11/2009,Jeff Triplette,17,115,7,39,10,76,19,5,2009
64,Cleveland,Buffalo,10/11/2009,Jerome Boger,16,104,3,29,13,75,19,5,2009
65,Washington,Carolina,10/11/2009,Walt Coleman,9,47,4,20,5,27,11,5,2009
66,Pittsburgh,Detroit,10/11/2009,Ed Hochuli,12,125,6,59,6,66,15,5,2009
67,Dallas,Kansas City,10/11/2009,Ron Winter,20,140,13,90,7,50,23,5,2009
68,Oakland,N.Y. Giants,10/11/2009,John Parry,11,104,7,67,4,37,12,5,2009
69,Tampa Bay,Philadelphia,10/11/2009,Terry McAulay,14,141,4,30,10,111,17,5,2009
70,Minnesota,St. Louis,10/11/2009,Don Carey,12,126,5,44,7,82,14,5,2009
71,Atlanta,San Francisco,10/11/2009,Pete Morelli,16,182,8,90,8,92,20,5,2009
72,Houston,Arizona,10/11/2009,Tony Corrente,13,93,6,53,7,40,13,5,2009
73,New England,Denver,10/11/2009,Carl Cheffers,7,66,4,46,3,20,13,5,2009
74,Jacksonville,Seattle,10/11/2009,Scott Green,10,83,9,73,1,10,13,5,2009
75,Indianapolis,Tennessee,10/11/2009,Walt Anderson,16,137,7,48,9,89,19,5,2009
76,N.Y. Jets,Miami,10/12/2009,Al Riveron,14,168,6,56,8,112,15,5,2009
77,Houston,Cincinnati,10/18/2009,Bill Leavy,11,105,7,60,4,45,16,6,2009
78,Detroit,Green Bay,10/18/2009,Jerome Boger,19,170,6,40,13,130,22,6,2009
79,St. Louis,Jacksonville,10/18/2009,Jeff Triplette,8,62,6,52,2,10,8,6,2009
80,Baltimore,Minnesota,10/18/2009,Mike Carey,9,89,6,74,3,15,15,6,2009
81,N.Y. Giants,New Orleans,10/18/2009,Ed Hochuli,15,165,9,110,6,55,17,6,2009
82,Cleveland,Pittsburgh,10/18/2009,Walt Anderson,8,75,4,45,4,30,9,6,2009
83,Carolina,Tampa Bay,10/18/2009,John Parry,8,70,3,30,5,40,10,6,2009
84,Kansas City,Washington,10/18/2009,Tony Corrente,11,93,4,30,7,63,11,6,2009
85,Philadelphia,Oakland,10/18/2009,Pete Morelli,7,61,4,38,3,23,10,6,2009
86,Arizona,Seattle,10/18/2009,Carl Cheffers,13,132,7,76,6,56,14,6,2009
87,Tennessee,New England,10/18/2009,Gene Steratore,12,95,6,55,6,40,12,6,2009
88,Buffalo,N.Y. Jets,10/18/2009,Walt Coleman,22,160,8,64,14,96,27,6,2009
89,Chicago,Atlanta,10/18/2009,Terry McAulay,15,135,9,65,6,70,17,6,2009
90,Denver,San Diego,10/19/2009,Scott Green,8,92,4,48,4,44,13,6,2009
91,Chicago,Cincinnati,10/25/2009,Walt Anderson,9,64,6,44,3,20,11,7,2009
92,Green Bay,Cleveland,10/25/2009,Don Carey,13,110,8,70,5,40,13,7,2009
93,San Francisco,Houston,10/25/2009,Mike Carey,18,142,11,65,7,77,22,7,2009
94,San Diego,Kansas City,10/25/2009,Pete Morelli,16,100,9,59,7,41,16,7,2009
95,Minnesota,Pittsburgh,10/25/2009,Ron Winter,14,93,11,78,3,15,16,7,2009
96,Indianapolis,St. Louis,10/25/2009,Carl Cheffers,11,124,6,51,5,73,11,7,2009
