Team,Team_ID,Name,Pos,Count,Yards,Declined,Offsetting,Pre-Snap,Penalties,Week,Year
Buffalo,4,D.Bell,T,3,15,1,0,3,"Illegal Formation (2), False Start (1), Offensive Holding (1)",1,2009
Tennessee,34,D.Stewart,T,3,13,0,0,3,"Illegal Formation (2), False Start (1)",1,2009
Pittsburgh,28,T.Polamalu,SS,2,30,0,1,0,"Unnecessary Roughness (1), Defensive Pass Interference (1), Face Mask (15 Yards) (1)",1,2009
St. Louis,32,R.Incognito,C,3,35,0,0,1,"Unnecessary Roughness (2), False Start (1)",1,2009
Oakland,26,C.Green,T,3,20,0,0,2,"False Start (2), Offensive Holding (1)",1,2009
Baltimore,3,J.Flacco,QB,1,5,0,1,1,"Intentional Grounding (1), Delay of Game (1)",1,2009
Cincinnati,7,C.Johnson,WR,2,17,0,0,0,"Offensive Pass Interference (1), Offensive Holding (1)",1,2009
Cleveland,8,B.Edwards,WR,2,15,0,0,1,"False Start (1), Illegal Block Above the Waist (1)",1,2009
Arizona,1,A.Wilson,SS,2,20,0,0,1,"Unnecessary Roughness (1), Defensive Offside (1)",1,2009
Atlanta,2,J.Abraham,OLB,2,10,0,0,2,"Defensive Offside (1), Defensive Delay of Game (1)",1,2009
New England,24,V.Wilfork,NT,2,20,0,0,1,"Roughing the Passer (1), Encroachment (1)",1,2009
N.Y. Jets,23,D.Ferguson,T,2,20,0,0,1,"Unnecessary Roughness (1), Illegal Motion (1)",1,2009
N.Y. Jets,23,M.Sanchez,QB,2,20,0,0,1,"False Start (1), Low Block (1)",1,2009
San Diego,29,P.Rivers,QB,2,20,0,0,1,"Delay of Game (1), Taunting (1)",1,2009
Arizona,1,D.Dockett,DT,2,9,0,0,2,Defensive Offside (2),1,2009
New England,24,D.Koppen,C,2,10,0,0,2,False Start (2),1,2009
New Orleans,25,D.Sharper,FS,1,1,1,0,0,"Personal Foul (1), Defensive Holding (1)",1,2009
Philadelphia,27,S.Andrews,G,2,10,0,0,2,"False Start (1), Illegal Formation (1)",1,2009
Denver,10,B.Hamilton,G,2,15,0,0,1,"False Start (1), Offensive Holding (1)",1,2009
Houston,13,C.Thompson,LB,2,20,0,0,0,"Unnecessary Roughness (1), Offensive Holding (1)",1,2009
Arizona,1,M.Gandy,T,2,15,0,0,1,"False Start (1), Offensive Holding (1)",1,2009
Seattle,31,D.Tapp,DE,2,10,0,0,2,Defensive Offside (2),1,2009
Buffalo,4,S.Nelson,TE,2,16,0,0,1,"False Start (1), Offensive Holding (1)",1,2009
Philadelphia,27,J.Peters,T,2,10,0,0,2,False Start (2),1,2009
Atlanta,2,T.Clabo,T,0,0,0,1,0,Offensive Holding (1),1,2009
Cleveland,8,J.St. Clair,T,1,5,0,0,1,False Start (1),1,2009
Atlanta,2,R.White,WR,1,10,0,0,0,Offensive Holding (1),1,2009
Denver,10,D.Graham,TE,1,5,0,0,1,False Start (1),1,2009
Baltimore,3,J.Johnson,LB,1,15,0,0,0,Roughing the Passer (1),1,2009
Tennessee,34,N.Washington,WR,0,0,0,1,1,Illegal Formation (1),1,2009
Miami,20,T.McDaniel,DT,0,0,0,1,0,Illegal Use of Hands (1),1,2009
Kansas City,16,R.Colclough,DB,0,0,0,1,0,Illegal Contact (1),1,2009
Cincinnati,7,B.Williams,G,0,0,1,0,0,Ineligible Downfield Pass (1),1,2009
Minnesota,21,C.Griffin,CB,1,28,0,0,0,Defensive Pass Interference (1),1,2009
Washington,35,S.Moss,WR,0,0,0,1,0,Personal Foul (1),1,2009
N.Y. Giants,22,C.Webster,CB,0,0,0,1,0,Personal Foul (1),1,2009
Indianapolis,14,P.Garcon,WR,1,5,0,0,1,False Start (1),1,2009
Cleveland,8,B.McDonald,DB,1,16,0,0,0,Defensive Pass Interference (1),1,2009
Kansas City,16,T.Tyler,DT,1,5,0,0,0,Illegal Use of Hands (1),1,2009
Chicago,6,A.Brown,DE,1,15,0,0,0,Unnecessary Roughness (1),1,2009
Denver,10,K.Moreno,RB,0,0,1,0,0,Personal Foul (1),1,2009
Washington,35,L.Landry,FS,1,12,0,0,0,Personal Foul (1),1,2009
Washington,35,A.Haynesworth,DT,1,5,0,0,1,Defensive Offside (1),1,2009
San Diego,29,Q.Jammer,CB,1,5,0,0,0,Illegal Contact (1),1,2009
Houston,13,Du.Robinson,CB,1,5,0,0,0,Defensive Holding (1),1,2009
Baltimore,3,D.Mason,WR,1,10,0,0,0,Offensive Holding (1),1,2009
Buffalo,4,D.Whitner,SS,1,15,0,0,0,Unnecessary Roughness (1),1,2009
Dallas,9,F.Adams,T,1,15,0,0,0,Unnecessary Roughness (1),1,2009
Washington,35,J.Campbell,QB,0,0,1,0,0,Illegal Forward Pass (1),1,2009
Minnesota,21,B.Favre,QB,1,5,0,0,1,Delay of Game (1),1,2009
San Diego,29,K.Osgood,WR,1,5,0,0,1,False Start (1),1,2009
Green Bay,12,C.Matthews,OLB,1,10,0,0,0,Offensive Holding (1),1,2009
Indianapolis,14,A.Bethea,SS,1,7,0,0,0,Face Mask (15 Yards) (1),1,2009
Houston,13,E.Winston,T,1,2,0,0,1,False Start (1),1,2009
Tennessee,34,G.McRath,LB,1,10,0,0,0,Offensive Holding (1),1,2009
Tampa Bay,33,A.Talib,CB,0,0,1,0,0,Illegal Use of Hands (1),1,2009
N.Y. Giants,22,E.Manning,QB,1,5,0,0,1,Delay of Game (1),1,2009
Carolina,5,J.Otah,T,1,5,0,0,1,False Start (1),1,2009
San Francisco,30,J.Smith,DE,1,5,0,0,0,Defensive Holding (1),1,2009
Pittsburgh,28,B.Roethlisberger,QB,1,5,0,0,1,Delay of Game (1),1,2009
Cleveland,8,J.Thomas,T,1,5,0,0,1,False Start (1),1,2009
Cleveland,8,K.Maiava,OLB,1,10,0,0,0,Offensive Holding (1),1,2009
Cincinnati,7,K.Cook,C,1,5,0,0,0,Ineligible Downfield Pass (1),1,2009
New England,24,M.Light,T,1,10,0,0,0,Tripping (1),1,2009
Kansas City,16,B.Albert,T,1,5,0,0,1,False Start (1),1,2009
N.Y. Jets,23,J.Westerman,LB,1,10,0,0,0,Offensive Holding (1),1,2009
N.Y. Jets,23,W.Hunter,T,0,0,1,0,1,Illegal Motion (1),1,2009
Jacksonville,15,E.Monroe,T,1,4,0,0,1,False Start (1),1,2009
N.Y. Jets,23,B.Moore,G,1,5,0,0,1,False Start (1),1,2009
Green Bay,12,C.Clifton,T,1,5,0,0,1,False Start (1),1,2009
Green Bay,12,J.Sitton,G,1,10,0,0,0,Offensive Holding (1),1,2009
New Orleans,25,C.Nicks,G,1,10,0,0,0,Offensive Holding (1),1,2009
Miami,20,J.Long,T,0,0,1,0,0,Offensive Holding (1),1,2009
Carolina,5,R.Kalil,C,1,5,0,0,1,False Start (1),1,2009
New Orleans,25,D.Thomas,TE,1,10,0,0,0,Offensive Holding (1),1,2009
Detroit,11,J.Backus,T,1,5,0,0,1,False Start (1),1,2009
Minnesota,21,K.Williams,DT,1,5,0,0,1,Encroachment (1),1,2009
San Francisco,30,P.Haralson,OLB,1,5,0,0,1,Defensive Offside (1),1,2009
San Diego,29,J.Clary,G,1,5,0,0,1,False Start (1),1,2009
St. Louis,32,J.Smith,T,1,5,0,0,1,False Start (1),1,2009
St. Louis,32,J.Bell,G,1,5,0,0,1,False Start (1),1,2009
Washington,35,D.Hall,SS,1,10,0,0,0,Offensive Holding (1),1,2009
Pittsburgh,28,M.Wallace,WR,1,5,0,0,1,Illegal Formation (1),1,2009
Detroit,11,D.Raiola,C,1,15,0,0,0,Personal Foul (1),1,2009
N.Y. Giants,22,C.Snee,G,1,10,0,0,0,Offensive Holding (1),1,2009
Indianapolis,14,D.Freeney,OLB,1,5,0,0,1,Neutral Zone Infraction (1),1,2009
Seattle,31,B.Obomanu,WR,1,10,0,0,0,Illegal Block Above the Waist (1),1,2009
Philadelphia,27,J.Parker,DE,1,15,0,0,0,Face Mask (15 Yards) (1),1,2009
San Francisco,30,D.Goldson,DB,1,10,0,0,0,Illegal Block Above the Waist (1),1,2009
San Diego,29,S.Phillips,OLB,1,5,0,0,0,Illegal Use of Hands (1),1,2009
Chicago,6,C.Williams,T,1,5,0,0,1,False Start (1),1,2009
Atlanta,2,J.Blalock,G,1,15,0,0,0,Personal Foul (1),1,2009
Detroit,11,L.Delmas,FS,1,15,0,0,0,Unsportsmanlike Conduct (1),1,2009
Arizona,1,L.Fitzgerald,WR,1,10,0,0,0,Offensive Pass Interference (1),1,2009
Houston,13,O.Daniels,TE,1,5,0,0,0,Offensive Holding (1),1,2009
Oakland,26,L.Murphy,WR,1,10,0,0,0,Offensive Pass Interference (1),1,2009
