Against,Beneficiary,Game_ID,Date,Ref_Crew,Total_Count,Total_Yards,Off_Count,Off_Yards,Def_Count,Def_Yards,ST_Count,ST_Yards,Pre-Snap,Off_Pre-Snap,Def_Pre-Snap,ST_Pre-Snap,Declined,Offsetting,Week,Year
Pittsburgh,Tennessee,1,9/10/2009,Bill Leavy,6,60,4,30,2,30,0,0,2,2,0,0,0,1,1,2009
Tennessee,Pittsburgh,1,9/10/2009,Bill Leavy,5,28,3,13,1,5,1,10,4,3,1,0,0,1,1,2009
Miami,Atlanta,2,9/13/2009,Walt Coleman,4,27,2,20,2,7,0,0,1,0,1,0,1,1,1,2009
Atlanta,Miami,2,9/13/2009,Walt Coleman,4,35,2,25,2,10,0,0,2,0,2,0,0,1,1,2009
Baltimore,Kansas City,3,9/13/2009,Gene Steratore,8,65,4,29,2,18,2,18,1,1,0,0,1,1,1,2009
Kansas City,Baltimore,3,9/13/2009,Gene Steratore,3,15,1,5,1,5,1,5,2,1,0,1,0,1,1,2009
Philadelphia,Carolina,4,9/13/2009,Jeff Triplette,9,76,6,40,2,21,1,15,6,5,1,0,0,0,1,2009
Carolina,Philadelphia,4,9/13/2009,Jeff Triplette,5,30,4,25,1,5,0,0,4,3,1,0,0,0,1,2009
Cincinnati,Denver,5,9/13/2009,Jerome Boger,4,27,3,22,1,5,0,0,1,0,1,0,1,0,1,2009
Denver,Cincinnati,5,9/13/2009,Jerome Boger,6,39,4,30,0,0,2,9,3,2,0,1,1,0,1,2009
Cleveland,Minnesota,6,9/13/2009,John Parry,8,66,6,40,1,16,1,10,4,4,0,0,0,0,1,2009
Minnesota,Cleveland,6,9/13/2009,John Parry,3,38,1,5,2,33,0,0,2,1,1,0,1,0,1,2009
Houston,N.Y. Jets,7,9/13/2009,Ed Hochuli,6,37,2,7,2,10,2,20,1,1,0,0,1,0,1,2009
N.Y. Jets,Houston,7,9/13/2009,Ed Hochuli,10,80,7,50,1,5,2,25,5,5,0,0,2,0,1,2009
Jacksonville,Indianapolis,8,9/13/2009,Tony Corrente,3,24,1,4,2,20,0,0,1,1,0,0,0,0,1,2009
Indianapolis,Jacksonville,8,9/13/2009,Tony Corrente,3,17,1,5,2,12,0,0,2,1,1,0,0,0,1,2009
Detroit,New Orleans,9,9/13/2009,Mike Carey,8,80,4,40,4,40,0,0,3,2,1,0,1,0,1,2009
New Orleans,Detroit,9,9/13/2009,Mike Carey,7,36,4,30,2,1,1,5,2,2,0,0,1,0,1,2009
Tampa Bay,Dallas,10,9/13/2009,Al Riveron,3,15,1,5,1,5,1,5,2,1,1,0,1,0,1,2009
Dallas,Tampa Bay,10,9/13/2009,Al Riveron,4,41,1,15,2,16,1,10,0,0,0,0,1,0,1,2009
San Francisco,Arizona,11,9/13/2009,Don Carey,4,31,0,0,2,10,2,21,1,0,1,0,0,0,1,2009
Arizona,San Francisco,11,9/13/2009,Don Carey,12,82,6,40,4,29,2,13,8,4,3,1,0,0,1,2009
Washington,N.Y. Giants,12,9/13/2009,Terry McAulay,4,32,0,0,3,22,1,10,1,0,1,0,2,1,1,2009
N.Y. Giants,Washington,12,9/13/2009,Terry McAulay,4,30,3,20,0,0,1,10,2,2,0,0,0,1,1,2009
St. Louis,Seattle,13,9/13/2009,Pete Morelli,10,85,8,65,1,15,1,5,6,5,0,1,1,0,1,2009
Seattle,St. Louis,13,9/13/2009,Pete Morelli,4,25,0,0,3,15,1,10,3,0,3,0,0,0,1,2009
Green Bay,Chicago,14,9/13/2009,Ron Winter,6,45,3,25,2,10,1,10,1,1,0,0,0,0,1,2009
Chicago,Green Bay,14,9/13/2009,Ron Winter,3,25,2,10,1,15,0,0,2,2,0,0,0,0,1,2009
Buffalo,New England,15,9/14/2009,Scott Green,9,71,6,41,2,20,1,10,4,4,0,0,1,0,1,2009
New England,Buffalo,15,9/14/2009,Scott Green,6,55,3,20,3,35,0,0,3,2,1,0,0,0,1,2009
San Diego,Oakland,16,9/14/2009,Carl Cheffers,9,60,6,45,3,15,0,0,5,4,1,0,0,0,1,2009
Oakland,San Diego,16,9/14/2009,Carl Cheffers,6,40,5,35,1,5,0,0,4,3,1,0,0,0,1,2009
Atlanta,Carolina,17,9/20/2009,Don Carey,6,40,4,30,2,10,0,0,4,2,2,0,0,0,2,2009
Carolina,Atlanta,17,9/20/2009,Don Carey,6,35,3,20,2,9,1,6,3,2,1,0,2,0,2,2009
Detroit,Minnesota,18,9/20/2009,Carl Cheffers,6,45,4,35,1,5,1,5,2,1,0,1,0,0,2,2009
Minnesota,Detroit,18,9/20/2009,Carl Cheffers,5,43,2,10,2,23,1,10,2,2,0,0,1,0,2,2009
Cincinnati,Green Bay,19,9/20/2009,Ed Hochuli,13,100,9,60,4,40,0,0,6,6,0,0,1,0,2,2009
Green Bay,Cincinnati,19,9/20/2009,Ed Hochuli,11,76,2,10,4,31,5,35,5,2,1,2,2,0,2,2009
Arizona,Jacksonville,20,9/20/2009,Gene Steratore,7,58,4,30,2,23,1,5,3,1,1,1,0,0,2,2009
Jacksonville,Arizona,20,9/20/2009,Gene Steratore,8,50,4,20,2,10,2,20,6,4,2,0,0,0,2,2009
Oakland,Kansas City,21,9/20/2009,Walt Anderson,7,45,4,20,3,25,0,0,5,4,1,0,1,0,2,2009
Kansas City,Oakland,21,9/20/2009,Walt Anderson,9,70,7,50,2,20,0,0,3,3,0,0,1,0,2,2009
N.Y. Jets,New England,22,9/20/2009,John Parry,8,55,3,14,4,31,1,10,4,2,2,0,2,0,2,2009
New England,N.Y. Jets,22,9/20/2009,John Parry,11,89,7,50,0,0,4,39,5,4,0,1,0,0,2,2009
Philadelphia,New Orleans,23,9/20/2009,Al Riveron,7,45,2,10,0,0,5,35,3,2,0,1,4,0,2,2009
New Orleans,Philadelphia,23,9/20/2009,Al Riveron,3,13,2,8,0,0,1,5,3,2,0,1,2,0,2,2009
Houston,Tennessee,24,9/20/2009,Walt Coleman,6,40,4,30,2,10,0,0,3,3,0,0,1,1,2,2009
Tennessee,Houston,24,9/20/2009,Walt Coleman,8,64,4,20,2,19,2,25,4,3,1,0,6,1,2,2009
Washington,St. Louis,25,9/20/2009,Jerome Boger,5,35,3,15,2,20,0,0,3,3,0,0,1,0,2,2009
St. Louis,Washington,25,9/20/2009,Jerome Boger,6,45,5,40,0,0,1,5,3,2,0,1,1,0,2,2009
Tampa Bay,Buffalo,26,9/20/2009,Ron Winter,13,112,7,55,4,50,2,7,6,4,1,1,2,0,2,2009
Buffalo,Tampa Bay,26,9/20/2009,Ron Winter,7,55,1,5,2,20,4,30,2,1,1,0,2,0,2,2009
Seattle,San Francisco,27,9/20/2009,Bill Leavy,6,45,4,25,2,20,0,0,4,3,1,0,0,0,2,2009
San Francisco,Seattle,27,9/20/2009,Bill Leavy,6,54,3,21,2,23,1,10,2,1,1,0,1,0,2,2009
Pittsburgh,Chicago,28,9/20/2009,Scott Green,6,52,1,5,2,20,3,27,1,1,0,0,1,0,2,2009
Chicago,Pittsburgh,28,9/20/2009,Scott Green,10,80,4,30,4,35,2,15,5,2,2,1,0,0,2,2009
Denver,Cleveland,29,9/20/2009,Pete Morelli,5,50,3,25,1,15,1,10,2,2,0,0,0,0,2,2009
Cleveland,Denver,29,9/20/2009,Pete Morelli,4,43,1,5,3,38,0,0,1,1,0,0,0,0,2,2009
San Diego,Baltimore,30,9/20/2009,Tony Corrente,12,85,6,44,3,31,3,10,6,4,2,0,1,0,2,2009
Baltimore,San Diego,30,9/20/2009,Tony Corrente,4,32,1,5,2,12,1,15,1,1,0,0,1,0,2,2009
N.Y. Giants,Dallas,31,9/20/2009,Mike Carey,4,40,1,10,2,20,1,10,1,0,1,0,1,0,2,2009
Dallas,N.Y. Giants,31,9/20/2009,Mike Carey,4,50,1,6,2,39,1,5,1,0,0,1,0,0,2,2009
Miami,Indianapolis,32,9/21/2009,Terry McAulay,4,20,1,5,2,10,1,5,3,1,2,0,0,0,2,2009
Indianapolis,Miami,32,9/21/2009,Terry McAulay,4,20,1,5,3,15,0,0,4,1,3,0,2,0,2,2009
Cleveland,Baltimore,33,9/27/2009,Terry McAulay,5,46,2,15,2,26,1,5,1,1,0,0,5,0,3,2009
Baltimore,Cleveland,33,9/27/2009,Terry McAulay,8,84,3,26,2,40,3,18,2,1,0,1,1,0,3,2009
Cincinnati,Pittsburgh,34,9/27/2009,Gene Steratore,4,30,3,20,0,0,1,10,2,2,0,0,1,0,3,2009
Pittsburgh,Cincinnati,34,9/27/2009,Gene Steratore,5,51,3,29,2,22,0,0,0,0,0,0,1,0,3,2009
Detroit,Washington,35,9/27/2009,Scott Green,8,58,3,22,3,25,2,11,4,1,2,1,0,0,3,2009
Washington,Detroit,35,9/27/2009,Scott Green,9,97,4,26,4,62,1,9,5,3,2,0,0,0,3,2009
Jacksonville,Houston,36,9/27/2009,Ron Winter,5,40,2,15,1,15,2,10,2,0,0,2,1,0,3,2009
Houston,Jacksonville,36,9/27/2009,Ron Winter,5,60,2,15,3,45,0,0,1,1,0,0,0,0,3,2009
San Francisco,Minnesota,37,9/27/2009,Jerome Boger,7,60,4,25,3,35,0,0,3,3,0,0,0,0,3,2009
Minnesota,San Francisco,37,9/27/2009,Jerome Boger,9,52,4,24,3,16,2,12,5,2,2,1,2,0,3,2009
Atlanta,New England,38,9/27/2009,Al Riveron,7,54,2,15,3,29,2,10,1,1,0,0,0,0,3,2009
New England,Atlanta,38,9/27/2009,Al Riveron,2,10,1,5,0,0,1,5,1,1,0,0,0,0,3,2009
Philadelphia,Kansas City,39,9/27/2009,John Parry,3,20,0,0,1,5,2,15,2,0,1,1,0,0,3,2009
Kansas City,Philadelphia,39,9/27/2009,John Parry,10,90,7,60,1,15,2,15,2,2,0,0,1,0,3,2009
St. Louis,Green Bay,40,9/27/2009,Walt Coleman,6,40,2,15,3,15,1,10,1,1,0,0,2,0,3,2009
Green Bay,St. Louis,40,9/27/2009,Walt Coleman,6,51,2,15,2,20,2,16,1,1,0,0,0,0,3,2009
Tampa Bay,N.Y. Giants,41,9/27/2009,Jeff Triplette,5,25,2,10,3,15,0,0,3,2,1,0,1,0,3,2009
N.Y. Giants,Tampa Bay,41,9/27/2009,Jeff Triplette,5,60,3,25,1,25,1,10,1,1,0,0,1,0,3,2009
Buffalo,New Orleans,42,9/27/2009,Walt Anderson,12,116,6,48,2,30,4,38,2,2,0,0,2,0,3,2009
New Orleans,Buffalo,42,9/27/2009,Walt Anderson,9,97,5,40,3,47,1,10,2,2,0,0,0,0,3,2009
Seattle,Chicago,43,9/27/2009,Don Carey,4,45,1,5,1,15,2,25,1,1,0,0,0,0,3,2009
