Team_Name,Team,Team_ID
Arizona Cardinals,Arizona,1
Atlanta Falcons,Atlanta,2
Baltimore Ravens,Baltimore,3
Buffalo Bills,Buffalo,4
Carolina Panthers,Carolina,5
Chicago Bears,Chicago,6
Cincinnati Bengals,Cincinnati,7
Cleveland Browns,Cleveland,8
Dallas Cowboys,Dallas,9
Denver Broncos,Denver,10
Detroit Lions,Detroit,11
Green Bay Packers,Green Bay,12
Houston Texans,Houston,13
Indianapolis Colts,Indianapolis,14
Jacksonville Jaguars,Jacksonville,15
Kansas City  Chiefs,Kansas City,16
Los Angeles Chargers,LA Chargers,17
Los Angeles Rams,LA Rams,18
Las Vegas Raiders,Las Vegas,19
Miami Dolphins,Miami,20
Minnesota Vikings,Minnesota,21
New York Giants,N.Y. Giants,22
New York Jets,N.Y. Jets,23
New England Patriots,New England,24
New Orleans Saints,New Orleans,25
Oakland Raiders,Oakland,26
Philadelphia Eagles,Philadelphia,27
Pittsburgh Steelers,Pittsburgh,28
San Diego Chargers,San Diego,29
San Francisco 49ers,San Francisco,30
Seattle Seahawks,Seattle,31
St. Louis Rams,St. Louis,32
Tampa Bay Buccaneers,Tampa Bay,33
Tennessee Titans,Tennessee,34
Washington Redskins,Washington,35
